Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Ability;Role Ability;Role Ability Out Of Possession;Potential;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
Wnt;Carlos Álvarez;16;AM (R);Winger;Yes;M/AM (RC);15;13;5;13;13;14;7;13;7;16;A+;Unknown;Unknown;;;Unknown;Speed;Tunisia;Reasonable;Spain;True;Very Strong;168 cm;22;Fair;Extensive Knowledge;Average;7;12;15;5;13;7;2;16;12;15;12;12;Spain;First Division;13;12;15;8;13;6;Levante;13;15;14;11;10;13;13;12;3;1;2;2;3;3;1;1;2;3;15,5M €;A+
Req;Jarrod Bowen;15;ST (C);Attacking midfielder;Yes;M/AM (RL), ST (C);15;11;8;14;14;15;8;12;5;14;A+;Heading;Unknown;;;Unknown;Speed;;Reasonable;England;False;Very Strong;174 cm;29;Okay;Extensive Knowledge;Above Average;8;13;13;4;14;10;1;14;15;14;13;13;England;Premier League;17;15;13;8;15;12;West Ham;14;14;17;10;10;14;14;8;3;3;3;3;1;1;3;3;3;1;54M €;A+
;Thiago;14;ST (C);Striker;Yes;ST (C);12;14;14;14;14;14;16;8;7;14;A;Unknown;Unknown;;;Unknown;Heading;Portugal;Very Strong;Brazil;False;Reasonable;191 cm;25;Extremely Good;Extensive Knowledge;Average;9;16;12;8;11;16;1;13;15;13;10;7;England;Premier League;16;14;13;8;14;11;Brentford;14;10;14;14;13;14;14;15;1;3;2;3;3;3;1;4;2;3;52M € - 61M €;A
Wnt;Luiz Henrique;16;AM (R);Winger;Yes;AM (RL);15;14;12;15;15;14;12;8;8;17;A;Unknown;Unknown;;;Unknown;Speed;Suriname;Reasonable;Brazil;False;Very Strong;182 cm;25;Quite Good;Extensive Knowledge;Very Low;11;13;14;7;14;11;2;13;10;17;11;10;Russia;Premier League;12;12;12;12;14;8;Zenit;12;15;14;10;10;13;14;12;3;1;3;3;2;2;3;1;3;1;16,5M € - 24M €;A
;Kiernan Dewsbury-Hall;12;M (C);Tireless midfielder;Yes;DM, M/AM (C);15;12;10;18;12;16;14;14;10;13;A;Unknown;Unknown;;;Unknown;Athleticism;France;Reasonable;England;False;Very Strong;178 cm;27;Good;Extensive Knowledge;Below Average;12;10;15;5;11;10;2;15;15;14;12;13;England;Lower Saxony;17;15;15;14;15;11;Everton;14;13;15;13;13;14;12;12;2;3;3;3;1;1;1;1;1;1;22M € - 33M €;A
Unh;Emile Smith Rowe;16;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);15;15;8;10;14;11;9;12;6;15;A;Unknown;Unknown;;;Unknown;Speed;Germany;Very Strong;England;False;Reasonable;182 cm;25;Poor;Extensive Knowledge;Very High;8;11;15;2;13;5;2;14;14;15;12;11;England;Sky Bet Championship;12;15;15;8;16;8;Fulham;14;15;14;12;13;14;15;11;3;4;2;2;3;1;3;2;4;3;40M €;A
;Armando Broja;15;ST (C);Striker;Yes;AM (RL), ST (C);13;15;14;10;15;13;14;7;6;14;A;Unknown;Unknown;;;Unknown;Speed;England;Very Strong;England;False;Reasonable;191 cm;24;Excellent;Extensive Knowledge;Very High;8;12;8;7;8;12;1;14;14;15;8;7;England;Premier League;13;12;9;7;15;12;Burnley;13;13;12;8;14;13;14;11;3;1;3;1;2;3;3;2;3;3;33M € - 39M €;A
Ask;Lucas Ocampos;14;AM (R);Winger;Yes;M/AM (RL), ST (C);13;13;13;14;13;12;13;9;3-6;14;A;Unknown;Unknown;;;Unknown;Team Player;Spain;Very Strong;Argentina;True;Reasonable;178 cm;31;Okay;Reasonable Knowledge;Very Low;8-10;15;14;10-13;13;12-14;1-3;14;11;14;15;14;Mexico;First Division;17;16;14;10-12;15;14;Monterrey;13;14;17;12;11-13;12;13;15;1-4;1-2;2-4;1-2;2-4;1-4;1-2;3-5;1-3;1-3;10M € - 15M €;A
;Yeremay;13;AM (L);Winger;Yes;M (L), AM (RLC), ST (C);15;10;4;11;13;12;7;12;6;15;A;Unknown;Unknown;;;Unknown;Skill;Morocco;Very Strong;Spain;True;Fairly Strong;169 cm;23;Excellent;Extensive Knowledge;Below Average;5;12;12;8;14;8;1;15;11;16;12;12;Spain;Second Division;12;10;14;7;13;9;Coruña;12;16;15;11;11;12;11;12;3;4;4;2;1;1;2;2;3;2;38M € - 45M €;A
Wnt;Ryan Flamingo;12;DM;Centre-back;Yes;D (C), DM, M (C);14;15;14;15;12;15;16;8;14;12;A;Unknown;Unknown;;;Unknown;Athleticism;Suriname;Very Strong;Netherlands;True;Reasonable;187 cm;23;Fair;Extensive Knowledge;Very Low;14;8;14;7;6;14;1;12;10;10;5;4;Netherlands;Eredivisie;15;14;9;15;11;12;PSV;12;7;13;12;13;13;11;15;1;1;3;3;3;3;3;2;3;3;18,5M € - 27M €;A
;Carlos Vicente;15;AM (R);Winger;Yes;M/AM (R);14;12;9;15;15;15;12;8;8;13;A;Unknown;Unknown;;;Unknown;Speed;England;Very Strong;Spain;True;Fairly Strong;179 cm;27;Fairly Good;Extensive Knowledge;Below Average;9;12;10;8;10;9;2;12;11;13;13;13;England;Sky Bet Championship;15;13;13;9;15;14;Birmingham;13;12;15;12;13;12;13;13;2;3;4;1;3;3;2;3;3;3;27M €;A
;Carlos Alcaraz;13;AM (C);Attacking midfielder;Yes;M/AM (C), ST (C);13;14;14;12;13;13;12;14;12;15;A;Unknown;Unknown;;;Unknown;Intelligence;Cameroon;Very Strong;Argentina;False;Reasonable;181 cm;23;Excellent;Extensive Knowledge;Low;11;11;15;9;12;9;1;14;13;13;11;12;England;Premier League;14;15;14;15;14;10;Everton;14;14;14;13;14;14;13;11;2;3;2;3;3;4;1;1;1;3;18,5M € - 27M €;A
Wnt;Aimar;13;AM (C);Attacking midfielder;Yes;M/AM (LC);14;12;8;11;14;15;11;12;7;15;A;Unknown;Unknown;;;Unknown;Skill;South Africa;Very Strong;Spain;True;Fairly Strong;177 cm;24;Quite Good;Extensive Knowledge;Average;11;15;15;6;11;7;1;15;13;14;13;13;Spain;First Division;14;15;15;12;12;13;Atlético Pamplona;15;16;14;13;13;15;13;14;1;2;1;2;1;2;2;1;3;2;40M €;A
