Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
;;;M (C);Midfielder;;DM, M (C);;;;;;;;;;;;Unknown;Team Player;Italy;Very Strong;Mexico;True;Reasonable;179 cm;23;Okay;;Average;;;;;;;;;;;;;Greece;R1 - Occitanie - A;;;;;;;;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (R);Winger;;M/AM (R);;;;;;;;;;;;Unknown;Speed;Nigeria;Very Strong;Ireland;False;Weak;177 cm;21;Superb;;Above Average;;;;;;;;;;;;;Ireland;Premier Division;;;;;;;Derry City;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (L);Winger;;M/AM (RL);;;;;;;;;;;;Unknown;Speed;Ireland;Very Strong;Ireland;True;Weak;175 cm;23;Okay;;High;;;;;;;;;;;;;England;Sky Bet League Two;;;;;;;Bristol Rovers;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (R);Winger;;AM (RL);;;;;;;;;;;;Unknown;Speed;Ireland;Very Strong;N.Ireland;False;Reasonable;182 cm;24;Good;;Very Low;;;;;;;;;;;;;N.Ireland;NIFL Premiership;;;;;;;Dungannon Swifts;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (L);Attacking midfielder;;AM (RLC), ST (C);;;;;;;;;;;;Unknown;Speed;N.Ireland;Very Weak;N.Ireland;True;Very Strong;170 cm;23;Okay;;Average;;;;;;;;;;;;;Ireland;Second Division;;;;;;;Derry City;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;D (C);Centre-back;;D (RLC), WB (R), DM;;;;;;;;;;;;Unknown;Team Player;Pays Basque;Weak;Ireland;True;Very Strong;184 cm;25;Slightly Poor;;Above Average;;;;;;;;;;;;;England;National 3 - Group E;;;;;;;Bradford;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;ST (C);Unpredictable striker;;AM (C), ST (C);;;;;;;;;;;;Unknown;Unknown;;Very Strong;Ireland;True;Weak;193 cm;24;Fairly Good;;Average;;;;;;;;;;;;;Ireland;Second League;;;;;;;Leicester;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;WB (R);Attacking full-back;;D/WB (R);;;;;;;;;;;;Unknown;Speed;Ireland;Very Strong;N.Ireland;True;Weak;180 cm;23;Fair;;Very Low;;;;;;;;;;;;;N.Ireland;NIFL Premiership;;;;;;;;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (R);Winger;;M (R), AM (RLC);;;;;;;;;;;;Unknown;Skill;;Very Weak;Ireland;False;Very Strong;171 cm;28;Superb;;Very Low;;;;;;;;;;;;;Ireland;Premier Division;;;;;;;Galway Utd;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;DM;Tireless defensive midfielder;;D (RC), DM, M (C);;;;;;;;;;;;Unknown;Team Player;;Very Strong;Ireland;True;Weak;188 cm;25;Fairly Good;;Below Average;;;;;;;;;;;;;Ireland;Premier Division;;;;;;;Shelbourne;;;;;;;;;;;;;;;;;;;;Scouting Required
