Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Ability;Role Ability;Role Ability Out Of Possession;Potential;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
;;;M (C);Midfielder;;DM, M (C);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Team Player;DR Congo;Very Strong;France;True;Weak;179 cm;23;Okay;;Average;;;;;;;;;;;;;Germany;Regional Div. North;;;;;;;SV Meppen;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (R);Winger;;M/AM (R);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Speed;Algeria;Weak;Algeria;False;Very Strong;177 cm;21;Superb;;Above Average;;;;;;;;;;;;;France;National 2 - C;;;;;;;FC Allobroges Asafia;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (L);Winger;;M/AM (RL);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Speed;Martinique;Very Strong;France;True;Weak;175 cm;23;Okay;;High;;;;;;;;;;;;;U.S.A.;MLS;;;;;;;Minnesota;;;;;;;;;;;;;;;;;;;;Scouting Required
;Luiz Henrique;;AM (R);Winger;;AM (RL);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Speed;France;Very Strong;France;False;Weak;182 cm;24;Good;;Very Low;;;;;;;;;;;;;France;National 2 - A;;;;;;;US Boulogne CO;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (L);Attacking midfielder;;AM (RLC), ST (C);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Speed;Mali;Very Strong;France;True;Weak;170 cm;23;Okay;;Average;;;;;;;;;;;;;France;National 2 - A;;;;;;;SCS Locminé;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;D (C);Centre-back;;D (RLC), WB (R), DM;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Team Player;Mali;Very Strong;France;True;Weak;184 cm;25;Slightly Poor;;Above Average;;;;;;;;;;;;;France;National;;;;;;;Bourg en B.;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;ST (C);Unpredictable striker;;AM (C), ST (C);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;Guinea;Very Strong;France;True;Weak;193 cm;24;Fairly Good;;Average;;;;;;;;;;;;;France;National 2 - B;;;;;;;US Thionville Lusitanos;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;WB (R);Attacking full-back;;D/WB (R);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Speed;France;Very Strong;France;True;Reasonable;180 cm;23;Fair;;Very Low;;;;;;;;;;;;;Poland;PKO BP Ekstraklasa;;;;;;;Raków;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (R);Winger;;M (R), AM (RLC);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Skill;France;Very Strong;Ghana;False;Reasonable;171 cm;28;Superb;;Very Low;;;;;;;;;;;;;France;Ligue 1 McDonald's;;;;;;;Rennes;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;DM;Tireless defensive midfielder;;D (RC), DM, M (C);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Team Player;Senegal;Very Strong;France;True;Reasonable;188 cm;25;Fairly Good;;Below Average;;;;;;;;;;;;;France;National 2 - C;;;;;;;FC Rousset SVO;;;;;;;;;;;;;;;;;;;;Scouting Required
