Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Ability;Role Ability;Role Ability Out Of Possession;Potential;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
;;;M (C);Midfielder;;DM, M (C);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Team Player;;Very Strong;Norway;True;Weak;179 cm;23;Okay;;Average;;;;;;;;;;;;;Norway;Premier Division;;;;;;;Bodø/Glimt;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (R);Winger;;M/AM (R);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Speed;France;Very Strong;France;False;Weak;177 cm;21;Superb;;Above Average;;;;;;;;;;;;;France;National 3 - Group C;;;;;;;Laval MFC;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (L);Winger;;M/AM (RL);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Speed;Portugal;Very Weak;Cape Verde;True;Very Weak;175 cm;23;Okay;;High;;;;;;;;;;;;;Cape Verde;SuperLiga;;;;;;;FC Derby;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (R);Winger;;AM (RL);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Speed;Portugal;Very Weak;Cape Verde;False;Very Weak;182 cm;24;Good;;Very Low;;;;;;;;;;;;;Romania;SuperLiga;;;;;;;FC Metaloglobus;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (L);Attacking midfielder;;AM (RLC), ST (C);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Speed;Portugal;Very Strong;Guinea-Bissau;True;Reasonable;170 cm;23;Okay;;Average;;;;;;;;;;;;;Portugal;Saudi Premier Division;;;;;;;Feirense;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;D (C);Centre-back;;D (RLC), WB (R), DM;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Team Player;Portugal;Very Weak;Portugal;True;Very Weak;184 cm;25;Slightly Poor;;Above Average;;;;;;;;;;;;;Türkiye;Super League;;;;;;;Kayserispor;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;ST (C);Unpredictable striker;;AM (C), ST (C);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;Russia;Very Strong;Norway;True;Fairly Strong;193 cm;24;Fairly Good;;Average;;;;;;;;;;;;;Norway;Saudi Premier Division;;;;;;;Bodø/Glimt;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;WB (R);Attacking full-back;;D/WB (R);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Speed;Cameroon;Very Strong;Portugal;True;Reasonable;180 cm;23;Fair;;Very Low;;;;;;;;;;;;;Spain;First Division;;;;;;;Sevilla;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;AM (R);Winger;;M (R), AM (RLC);;;;;;;;;;;;Unknown;Unknown;;;Unknown;Skill;Ghana;Very Strong;Portugal;False;Weak;171 cm;28;Superb;;Very Low;;;;;;;;;;;;;Portugal;Second Division;;;;;;;FC Porto;;;;;;;;;;;;;;;;;;;;Scouting Required
;;;;Midfielder;;;;;;;;;;;;;;Unknown;Unknown;;;Unknown;Unknown;Spain;Very Weak;Iraq;;Very Weak;;;;;;;;;;;;;;;;;;Iraq;Premier League;;;;;;;Zakho SC;;;;;;;;;;;;;;;;;;;;Scouting Required
