Picked;Inf;Player;Style;Age;Position;Marking;Technique;Tackling;Penalty Taking;Passing;Aerial Reach;Transfer Value;Long Throws;Long Shots;Heading;Free Kick Taking;First Touch;Finishing;Dribbling;Crossing;Corners;Strength;Stamina;Pace;Natural Fitness;Balance;Jumping Reach;Agility;Acceleration;Throwing;Rushing Out (Tendency);Reflexes;Punching;One On Ones;Kicking;Handling;Eccentricity;Communication;Command Of Area;Aggression;Anticipation;Bravery;Composure;Concentration;Decisions;Determination;Flair;Leadership;Off The Ball;Positioning;Team Work;Vision;Work Rate
-;;Fraser Forster;Shot Stopper;37;GK;3;7;7;3;9;19;€170K - €425K;3;2;1;7;8;2;1;1;3;19;9;2;11;13;20;12;2;13;12;14;3;14;11;14;4;14;11;7;12;15;11;17;11;14;2;12;1;17;6;9;12
-;;Alex Tóth;Technical;19;DM, M/AM (C);12;14;11;10;15;1;€25M - €30M;6;10;8;13;12;9;11;13;13;8;13;10;13;13;9;12;10;2;1;1;1;1;4;1;2;2;4;12;13;12;11;11;13;13;10;8;12;11;14;15;13
-;Loa;Owen Bevan;Physical;21;D (C);10;8;12;6;8;2;€28K - €130K;1;7;11;7;7;7;8;6;3;11;12;12;11;9;14;10;12;1;2;3;2;2;1;2;1;3;4;10;10;13;10;9;9;13;5;10;6;11;11;5;12
-;Unr;Alex Paulsen;Shot Stopper;23;GK;2;9;2;2;11;10;€1.5M - €2.4M;1;2;6;7;10;1;7;2;3;10;10;9;12;11;12;13;10;11;8;15;10;12;12;13;14;11;12;10;12;11;13;13;10;14;11;8;1;13;9;11;10
S1;;Christos Mandas;Shot Stopper;24;GK;1;7;1;2;9;12;€6.4M - €7.6M;2;2;1;6;10;1;2;2;1;12;11;12;13;12;13;13;13;11;7;18;10;12;10;15;6;11;12;12;13;12;12;12;13;16;1;11;2;14;12;13;13
S8;;Veljko Milosavljević;Intelligent;18;D (C);14;11;15;10;13;2;€31M - €38M;5;10;15;8;11;7;9;6;5;14;12;10;12;13;16;10;12;3;2;1;2;1;1;1;1;2;3;12;14;13;12;14;13;12;7;11;8;13;12;9;13
-;;Rayan;Physical;19;AM (R), ST (C);7;13;7;11;11;2;€32M - €46M;7;13;11;11;13;14;13;11;7;15;13;15;14;14;13;14;15;1;1;1;3;1;1;3;2;1;1;10;12;12;13;11;13;15;13;7;14;7;12;9;13
S2;;Álex Jiménez;Leader;20;D/WB (RL), M/AM (R);9;13;12;7;12;2;€59M - €69M;6;12;6;4;12;8;14;12;6;10;14;14;14;13;7;15;17;1;1;3;3;1;1;3;1;2;4;16;14;15;9;11;10;15;10;10;15;10;13;11;14
S7;ESC;Eli Junior Kroupi;Technical;19;AM (C), ST (C);7;16;7;15;12;2;€41M - €60M;5;13;11;4;13;15;14;11;8;7;13;14;14;13;10;16;15;3;1;3;3;1;2;3;1;3;1;9;13;8;15;12;14;13;14;7;13;7;13;13;14
S9;;Ben Gannon Doak;Leader;19;AM (RL);7;14;6;7;13;3;€40M - €59M;3;8;5;6;14;11;17;13;10;10;10;14;12;14;6;15;16;2;1;2;2;2;2;4;3;2;1;15;11;13;13;11;12;18;15;8;13;5;12;13;14
AM (C);Wnt;Alex Scott;Technical;22;DM, M (C), AM (RC);8;15;13;7;15;1;€55M - €70M;4;9;8;6;14;11;17;12;5;9;14;14;12;16;8;17;13;2;3;2;1;3;2;2;1;1;1;14;14;12;15;12;14;18;15;9;15;14;15;16;14
-;Unr;Luis Sinisterra;Physical;26;M/AM (RL);5;14;4;6;11;4;€40M - €44M;2;12;11;13;14;13;16;13;11;9;12;16;17;14;10;16;16;3;3;3;1;2;1;1;2;3;2;10;13;11;12;10;12;14;17;5;13;5;12;10;13
-;Unr;Julián Araujo;Leader;24;D/WB/M (R);11;12;13;6;12;3;€5.8M - €7.8M;10;8;10;8;12;6;12;12;8;11;15;15;14;14;9;13;14;2;2;4;3;2;3;3;3;3;1;15;11;16;11;12;12;14;8;8;12;12;13;10;15
